index,YEAR,LOCATION,CATTLE_BREED_TYPE,CATTLE_GENDER,CATTLE_AGE_0_6,CATTLE_AGE_6_6,CATTLE_AGE_6_12,CATTLE_AGE_12_18,CATTLE_AGE_18_24,CATTLE_AGE_24_30,CATTLE_AGE_30_36,CATTLE_AGE_36_PLUS
2673,2019,Erriff,BEEF,M,12,42,177,41,93,2,4,21
2674,2020,Erriff,DAIRY,M,0,0,87,128,289,9,3,0
2675,2018,Dargle,DAIRY,M,6,9,74,13,39,21,3,0
2676,2017,Dodder,DAIRY,M,0,2,41,6,14,7,0,0
2677,2015,Dargle,DAIRY,M,1,2,56,7,19,8,3,0
2678,2019,Currane,BEEF,M,23,192,190,43,55,11,15,37
2679,2020,Nore,BEEF,C,0,0,0,0,145,733,5044,50733
2680,2019,Nore,BEEF,C,0,0,0,0,143,728,5052,50853
2681,2015,Nore,BEEF,C,0,0,0,0,140,698,4912,50073
2682,2014,Nore,BEEF,C,0,0,0,0,141,697,4859,50281
2683,2015,Boyne,BEEF,F,1560,7315,34552,11374,41839,6484,7875,1479
2684,2014,Nore,DAIRY,C,0,0,0,0,106,422,22637,92024
2685,2019,Boyne,DAIRY,C,0,0,0,0,100,1365,11514,62584
2686,2019,Nore,DAIRY,F,407,1392,32541,1692,29132,1354,3616,632
2687,2014,Nore,BEEF,F,1647,7239,39207,9818,34448,4060,3945,1341
2688,2019,Ilen,DAIRY,C,0,0,0,0,17,109,3790,19637
2689,2020,Ilen,BEEF,C,0,0,0,0,14,94,595,6421
2690,2020,Doonbeg,DAIRY,F,13,24,1519,41,1427,39,312,73
2691,2017,Doonbeg,DAIRY,F,3,21,1422,31,1333,25,311,68
2692,2019,Moy,BEEF,F,767,3386,18845,4152,15087,2110,4071,956
2693,2015,Doonbeg,DAIRY,C,0,0,0,0,3,6,1043,5799
2694,2019,Dargle,DAIRY,F,4,16,340,18,127,6,13,2
2695,2020,Dargle,DAIRY,F,4,16,340,18,127,6,13,2
2696,2015,Dargle,DAIRY,F,2,0,315,4,112,2,8,0
2697,2019,Ilen,DAIRY,F,75,340,5161,419,4859,348,695,165
2698,2014,Ilen,DAIRY,F,70,344,5371,409,4949,346,682,164
2699,2015,Inny,DAIRY,C,0,0,0,0,26,197,4227,19224
2700,2014,Dargle,BEEF,C,0,0,0,0,2,15,73,1070
2701,2017,Currane,BEEF,F,34,222,321,140,150,67,52,31
2702,2016,Currane,BEEF,F,33,195,318,116,151,62,51,29
2703,2015,Moy,DAIRY,C,0,0,0,0,12,80,1630,9659
2704,2018,Dargle,BEEF,F,28,158,548,177,504,72,134,25
2705,2019,Gweebarra,BEEF,F,18,70,217,78,126,38,70,21
2706,2018,Gweebarra,BEEF,F,18,70,221,78,126,38,72,21
2707,2020,Gweebarra,BEEF,C,0,0,0,0,2,12,30,732
2708,2019,Dargle,DAIRY,C,0,0,0,0,1,12,54,303
2709,2015,Gweebarra,DAIRY,F,0,0,25,0,32,1,5,0
2710,2016,Dodder,DAIRY,C,0,0,0,0,0,0,14,102
2711,2015,Currane,DAIRY,C,0,0,0,0,0,0,5,27
2712,2015,Erriff,DAIRY,C,0,0,0,0,0,0,0,1
2713,2017,Currane,DAIRY,F,0,0,2,0,4,0,0,0
2714,2016,Currane,DAIRY,F,0,0,2,0,4,0,0,0
2715,2017,Nore,DAIRY,M,459,1446,27221,2718,24325,1153,1931,262
2716,2017,Nore,BEEF,M,1711,7586,44133,10602,44294,4230,4753,2613
2717,2016,Nore,BEEF,M,1713,7580,43872,10646,44311,4256,4733,2587
2718,2018,Moy,BEEF,M,784,3649,17415,3394,10995,1015,1123,1283
2719,2018,Moy,DAIRY,M,153,235,1527,230,1088,121,201,34
2720,2014,Moy,DAIRY,M,160,234,1365,243,832,117,191,41
2721,2015,Inny,DAIRY,M,146,219,1947,375,1917,222,313,88
2722,2020,Doonbeg,DAIRY,M,5,17,939,19,530,18,103,21
